No, Length, Seq, Win, Len
3, 54, 1, 29200, 0
4, 7354, 1, 29200, 7300
5, 7354, 7301, 29200, 7300
8, 5894, 14601, 29200, 5840
12, 8814, 20441, 29200, 8760
16, 8814, 29201, 29200, 8760
20, 8814, 37961, 29200, 8760
26, 11734, 46721, 29200, 11680
35, 11734, 58401, 29200, 11680
42, 8814, 70081, 29200, 8760
51, 13194, 78841, 29200, 13140
61, 13194, 91981, 29200, 13140
66, 5894, 105121, 29200, 5840
75, 13194, 110961, 29200, 13140
85, 13194, 124101, 29200, 13140
90, 5894, 137241, 29200, 5840
100, 13194, 143081, 29200, 13140
109, 13194, 156221, 29200, 13140
114, 5894, 169361, 29200, 5840
124, 14654, 175201, 29200, 14600
129, 5894, 189801, 29200, 5840
138, 11734, 195641, 29200, 11680
148, 14654, 207321, 29200, 14600
159, 14654, 221921, 29200, 14600
162, 2974, 236521, 29200, 2920
172, 14654, 239441, 29200, 14600
183, 14654, 254041, 29200, 14600
186, 2974, 268641, 29200, 2920
197, 16114, 271561, 29200, 16060
209, 16114, 287621, 29200, 16060
220, 16114, 303681, 29200, 16060
231, 14654, 319741, 29200, 14600
233, 1514, 334341, 29200, 1460
244, 16114, 335801, 29200, 16060
255, 14654, 351861, 29200, 14600
257, 1514, 366461, 29200, 1460
269, 17574, 367921, 29200, 17520
280, 14654, 385441, 29200, 14600
292, 17574, 400041, 29200, 17520
303, 14654, 417561, 29200, 14600
315, 17574, 432161, 29200, 17520
326, 14654, 449681, 29200, 14600
339, 19034, 464281, 29200, 18980
349, 13194, 483261, 29200, 13140
375, 5894, 496401, 29200, 5840
393, 24874, 502241, 29200, 24820
394, 1514, 527061, 29200, 1460
395, 24874, 528521, 29200, 24820
397, 7354, 553341, 29200, 7300
411, 20494, 560641, 29200, 20440
430, 2974, 581081, 29200, 2920
455, 54, 584000, 29200, 0
456, 54, 584000, 29200, 0
459, 8814, 584001, 29200, 8760
460, 5894, 592761, 29200, 5840
463, 5894, 598601, 29200, 5840
467, 8814, 604441, 29200, 8760
471, 8814, 613201, 29200, 8760
475, 2974, 621961, 29200, 2920
478, 11734, 624881, 29200, 11680
484, 13194, 636561, 29200, 13140
495, 7354, 649701, 29200, 7300
498, 16114, 657001, 29200, 16060
509, 16114, 673061, 29200, 16060
512, 2974, 689121, 29200, 2920
524, 16114, 692041, 29200, 16060
533, 13194, 708101, 29200, 13140
560, 5894, 721241, 29200, 5840
574, 20494, 727081, 29200, 20440
589, 5894, 747521, 29200, 5840
